,0
SQL,285.0
 R ,34.0
SAS,69.0
Java,12.0
 C# ,2.0
C++,4.0
Scala,3.0
Shell,6.0
Javascript,3.0
Matlab,6.0
HTML,1.0
Ruby,0.0
Python,94.0
PHP,1.0
DAX,5.0
 M ,0.0
Machine Learning,5.0
SPSS,10.0
Artificial Intelligence,7.0
