,0
Power BI,140.0
Excel,323.0
Tableau,112.0
GitHub,0.0
Jira,11.0
Azure,152.0
AWS,54.0
Jenkins,2.0
Microsoft Azure,7.0
Alteryx,19.0
Qlik,24.0
DevOps,28.0
Dockers,1.0
Openstack,1.0
GCP,3.0
Kafka,5.0
PostgreSQL,2.0
ElasticSearch,1.0
Lucene,1.0
Kibana,1.0
Crystal Reports,1.0
Teradata,13.0
Oracle,28.0
DB2,6.0
MSSQL,1.0
MS SQL,8.0
RDBMS,2.0
MySQL,3.0
NoSQL,3.0
Google Cloud,26.0
Spotfire,3.0
