,0
ETL,38.0
Relational Databases,0.0
Statistics,28.0
Data Modeling,0.0
Data Management,34.0
Data Visualisation,7.0
Business Intelligence,52.0
Computer Science,33.0
Data Mining,0.0
Data Warehousing,9.0
CRM,32.0
